Model,Description,Parameter,ROC-AUC,Accuracy,Precision,Recall,F1 Score,F2 Score,Confusion Matrix
regression_logistic,PT origin,C=0.1,0.836611593145981,0.9991924440855308,0.825,0.673469387755102,0.7415730337078652,0.6991525423728814,"[[56850    14],  [   32    66]]"
regression_logistic,PT origin,C=0.5,0.8366028002365832,0.9991748885221726,0.8148148148148148,0.673469387755102,0.7374301675977653,0.6976744186046511,"[[56849    15],  [   32    66]]"
regression_logistic,PT origin,C=1,0.8366028002365832,0.9991748885221726,0.8148148148148148,0.673469387755102,0.7374301675977653,0.6976744186046511,"[[56849    15],  [   32    66]]"
regression_logistic,PT origin,C=1.5,0.8366028002365832,0.9991748885221726,0.8148148148148148,0.673469387755102,0.7374301675977653,0.6976744186046511,"[[56849    15],  [   32    66]]"
regression_logistic,PT origin,C=2,0.8366028002365832,0.9991748885221726,0.8148148148148148,0.673469387755102,0.7374301675977653,0.6976744186046511,"[[56849    15],  [   32    66]]"
regression_logistic,PT origin,C=2.5,0.8366028002365832,0.9991748885221726,0.8148148148148148,0.673469387755102,0.7374301675977653,0.6976744186046511,"[[56849    15],  [   32    66]]"
regression_logistic,PT origin,C=3,0.8366028002365832,0.9991748885221726,0.8148148148148148,0.673469387755102,0.7374301675977653,0.6976744186046511,"[[56849    15],  [   32    66]]"
