Model,Description,Parameter,ROC-AUC,Accuracy,Precision,Recall,F1 Score,F2 Score,Confusion Matrix
knn,OR origin,Default,0.8927867995819599,0.9994908886626171,0.9058823529411765,0.7857142857142857,0.8415300546448088,0.8071278825995806,"[[56856     8],[   21    77]]"
knn,OR smote,Default,0.9377643256233276,0.9977704434535304,0.42786069651741293,0.8775510204081632,0.5752508361204014,0.7251264755480606,"[[56749   115],[   12    86]]"
knn,OR adasyn,Default,0.9377643256233276,0.9977704434535304,0.42786069651741293,0.8775510204081632,0.5752508361204014,0.7251264755480606,"[[56749   115],[   12    86]]"
knn,PT origin,Default,0.8876847587656335,0.9994733330992591,0.9047619047619048,0.7755102040816326,0.8351648351648353,0.7983193277310924,"[[56856     8],[   22    76]]"
knn,PT smote,Default,0.9429191238960413,0.9978933323970366,0.44387755102040816,0.8877551020408163,0.5918367346938774,0.7397959183673468,"[[56755   109],[   11    87]]"
knn,PT adasyn,Default,0.9429103309866433,0.9978757768336786,0.4416243654822335,0.8877551020408163,0.5898305084745763,0.7385398981324277,"[[56754   110],[   11    87]]"
