Model,Description,Parameter,ROC-AUC,Accuracy,Precision,Recall,F1 Score,F2 Score,Confusion Matrix
xgboost,OR origin,Default,0.9081017149403374,0.9995611109160493,0.9195402298850575,0.8163265306122449,0.8648648648648648,0.8350730688935282,"[[56857     7],[   18    80]]"
xgboost,OR smote,Default,0.9435785921008808,0.9992099996488887,0.71900826446281,0.8877551020408163,0.7945205479452055,0.847953216374269,"[[56830    34],[   11    87]]"
xgboost,OR adasyn,Default,0.9231880146543705,0.9991748885221726,0.7217391304347827,0.8469387755102041,0.779342723004695,0.8185404339250493,"[[56832    32],[   15    83]]"
xgboost,PT origin,Default,0.9081017149403374,0.9995611109160493,0.9195402298850575,0.8163265306122449,0.8648648648648648,0.8350730688935282,"[[56857     7],[   18    80]]"
xgboost,PT smote,Default,0.9282900554706971,0.9991924440855307,0.7241379310344828,0.8571428571428571,0.7850467289719627,0.826771653543307,"[[56832    32],[   14    84]]"
xgboost,PT adasyn,Default,0.9333305459212384,0.9990871107053826,0.6854838709677419,0.8673469387755102,0.7657657657657656,0.8236434108527131,"[[56825    39],[   13    85]]"
