Model,Description,Parameter,ROC-AUC,Accuracy,Precision,Recall,F1 Score,F2 Score,Confusion Matrix
mlp,OR origin,Default,0.9232407721107577,0.9992802219023208,0.7614678899082569,0.8469387755102041,0.8019323671497586,0.8283433133732535,"[[56838    26],[   15    83]]"
mlp,OR smote,Default,0.8926373201221963,0.9991924440855307,0.7549019607843137,0.7857142857142857,0.7700000000000001,0.7793522267206477,"[[56839    25],[   21    77]]"
mlp,OR adasyn,Default,0.8975195382035763,0.9987711105649381,0.609375,0.7959183673469388,0.6902654867256638,0.75,"[[56814    50],[   20    78]]"
mlp,PT origin,Default,0.8927604208537663,0.9994382219725431,0.875,0.7857142857142857,0.8279569892473119,0.8020833333333334,"[[56853    11],[   21    77]]"
mlp,PT smote,Default,0.8875528651246656,0.9992099996488887,0.7676767676767676,0.7755102040816326,0.7715736040609136,0.7739307535641549,"[[56841    23],[   22    76]]"
mlp,PT adasyn,Default,0.9028941592112366,0.9993328885923949,0.8061224489795918,0.8061224489795918,0.806122448979592,0.8061224489795918,"[[56845    19],[   19    79]]"
